Temperature [K],Gibbs energy of BCC_A2 [J/mol],Gibbs energy of FCC_A1 [J/mol]
500,-15464.93879,-12450.95774
505,-15685.95626,-12710.92428
510,-15908.43152,-12972.26901
515,-16132.35615,-13234.98094
520,-16357.72193,-13499.04923
525,-16584.52087,-13764.46328
530,-16812.74517,-14031.21264
535,-17042.38723,-14299.28707
540,-17273.43964,-14568.67649
545,-17505.8952,-14839.37102
550,-17739.74686,-15111.36093
555,-17974.98779,-15384.63667
560,-18211.61132,-15659.18883
565,-18449.61096,-15935.00819
570,-18688.98039,-16212.08565
575,-18929.71346,-16490.41229
580,-19171.80418,-16769.97933
585,-19415.24675,-17050.77812
590,-19660.03549,-17332.80016
595,-19906.16491,-17616.0371
600,-20153.62965,-17900.4807
605,-20402.42453,-18186.12208
610,-20652.5445,-18472.95486
615,-20903.98466,-18760.97039
620,-21156.74026,-19050.16095
625,-21410.80669,-19340.51893
630,-21666.17949,-19632.03685
635,-21922.85433,-19924.70733
640,-22180.82702,-20218.52311
645,-22440.09351,-20513.47704
650,-22700.64988,-20809.56208
655,-22962.49234,-21106.77129
660,-23225.61724,-21405.09782
665,-23490.02107,-21704.53495
670,-23755.70041,-22005.07602
675,-24022.65202,-22306.7145
680,-24290.87274,-22609.44394
685,-24560.35957,-22913.25798
690,-24831.10961,-23218.15035
695,-25103.12011,-23524.11488
700,-25376.38841,-23831.14546
705,-25650.91201,-24139.2361
710,-25926.68851,-24448.38086
715,-26203.71564,-24758.57391
720,-26481.99124,-25069.80947
725,-26761.51328,-25382.08187
730,-27042.27987,-25695.38549
735,-27324.28921,-26009.7148
740,-27607.53964,-26325.06434
745,-27892.02962,-26641.42873
750,-28177.75773,-26958.80264
755,-28464.72267,-27277.18082
760,-28752.92327,-27596.55811
765,-29042.35849,-27916.92938
770,-29333.02739,-28238.28959
775,-29624.92919,-28560.63375
780,-29918.06321,-28883.95696
785,-30212.42892,-29208.25434
790,-30508.02589,-29533.52111
795,-30804.85386,-29859.75254
800,-31102.91267,-30186.94393
805,-31402.20232,-30515.09068
810,-31702.72292,-30844.18822
815,-32004.47475,-31174.23204
820,-32307.45821,-31505.21769
825,-32611.67385,-31837.14078
830,-32917.12238,-32169.99695
835,-33223.80463,-32503.78192
840,-33531.72161,-32838.49144
845,-33840.87448,-33174.12132
850,-34151.26456,-33510.66742
855,-34462.89332,-33848.12563
860,-34775.76243,-34186.49192
865,-35089.8737,-34525.76228
870,-35405.22914,-34865.93276
875,-35721.83093,-35206.99945
880,-36039.68145,-35548.95849
885,-36358.78325,-35891.80605
890,-36679.1391,-36235.53836
895,-37000.75198,-36580.15168
900,-37323.62507,-36925.64231
905,-37647.76177,-37272.00662
910,-37973.16571,-37619.24097
915,-38299.84075,-37967.34181
920,-38627.79101,-38316.30559
925,-38957.02084,-38666.12882
930,-39287.53487,-39016.80805
935,-39619.33798,-39368.33986
940,-39952.43535,-39720.72085
945,-40286.83245,-40073.9477
950,-40622.53505,-40428.01707
955,-40959.54923,-40782.9257
960,-41297.88141,-41138.67035
965,-41637.53834,-41495.2478
970,-41978.52714,-41852.65489
975,-42320.85528,-42210.88846
980,-42664.53065,-42569.94542
985,-43009.56151,-42929.82268
990,-43355.95656,-43290.5172
995,-43703.72493,-43652.02597
999.9995,-44052.84122,-44014.30972
1000,-44052.8762,-44014.346
1000,-44052.8762,-44014.346
1000.0005,-44052.91119,-44014.38227
1005,-44403.42046,-44377.47433
1010,-44755.36825,-44741.40804
1015,-45108.73068,-45106.14424
1020,-45463.51938,-45471.68006
1025,-45819.67436,-45838.01266
1030,-46177.05798,-46205.13924
1035,-46535.64392,-46573.05701
1040,-46895.40987,-46941.76321
1045,-47256.33497,-47311.25512
1050,-47618.39966,-47681.53004
1055,-47981.58559,-48052.58529
1060,-48345.87551,-48424.41822
1065,-48711.25315,-48797.02621
1070,-49077.70316,-49170.40666
1075,-49445.211,-49544.55699
1080,-49813.76292,-49919.47465
1085,-50183.34583,-50295.15713
1090,-50553.94734,-50671.6019
1095,-50925.5556,-51048.8065
1100,-51298.15934,-51426.76848
1105,-51671.74778,-51805.48539
1110,-52046.31063,-52184.95482
1115,-52421.83802,-52565.17439
1120,-52798.32049,-52946.14174
1125,-53175.74898,-53327.8545
1130,-53554.11474,-53710.31037
1135,-53933.40939,-54093.50704
1140,-54313.62485,-54477.44223
1145,-54694.75331,-54862.11367
1150,-55076.78727,-55247.51912
1155,-55459.71945,-55633.65637
1160,-55843.54284,-56020.5232
1165,-56228.25063,-56408.11745
1170,-56613.83625,-56796.43694
1175,-57000.29333,-57185.47953
1180,-57387.61568,-57575.2431
1185,-57775.7973,-57965.72554
1190,-58164.83237,-58356.92476
1195,-58554.71522,-58748.83869
1200,-58945.44035,-59141.46528
1205,-59337.0024,-59534.80249
1210,-59729.39617,-59928.8483
1215,-60122.61658,-60323.60072
1220,-60516.65868,-60719.05776
1225,-60911.51765,-61115.21745
1230,-61307.18879,-61512.07785
1235,-61703.6675,-61909.63702
1240,-62100.94931,-62307.89305
1245,-62499.02984,-62706.84402
1250,-62897.90482,-63106.48806
1255,-63297.57008,-63506.82329
1260,-63698.02151,-63907.84787
1265,-64099.25514,-64309.55994
1270,-64501.26704,-64711.95769
1275,-64904.0534,-65115.03931
1280,-65307.61047,-65518.80299
1285,-65711.93457,-65923.24697
1290,-66117.02212,-66328.36948
1295,-66522.86958,-66734.16875
1300,-66929.47351,-67140.64306
1305,-67336.83052,-67547.79069
1310,-67744.93728,-67955.60991
1315,-68153.79055,-68364.09904
1320,-68563.38712,-68773.25639
1325,-68973.72384,-69183.08029
1330,-69384.79765,-69593.56909
1335,-69796.60552,-70004.72113
1340,-70209.14446,-70416.5348
1345,-70622.41157,-70829.00847
1350,-71036.40397,-71242.14054
1355,-71451.11884,-71655.9294
1360,-71866.55341,-72070.37349
1365,-72282.70496,-72485.47124
1370,-72699.57079,-72901.22108
1375,-73117.14828,-73317.62147
1380,-73535.43482,-73734.67087
1385,-73954.42787,-74152.36778
1390,-74374.12491,-74570.71067
1395,-74794.52347,-74989.69805
1400,-75215.62111,-75409.32843
1405,-75637.41543,-75829.60033
1410,-76059.90408,-76250.5123
1415,-76483.08472,-76672.06287
1420,-76906.95507,-77094.25059
1425,-77331.51287,-77517.07405
1430,-77756.75588,-77940.53182
1435,-78182.68193,-78364.62247
1440,-78609.28883,-78789.34463
1445,-79036.57448,-79214.69688
1450,-79464.53675,-79640.67785
1455,-79893.17359,-80067.28618
1460,-80322.48294,-80494.52049
1465,-80752.4628,-80922.37944
1470,-81183.11116,-81350.86169
1475,-81614.42608,-81779.9659
1480,-82046.4056,-82209.69075
1485,-82479.04783,-82640.03493
1490,-82912.35088,-83070.99714
1495,-83346.31287,-83502.57608
1500,-83780.93199,-83934.77047
1505,-84216.2064,-84367.57903
1510,-84652.13432,-84801.00049
1515,-85088.71398,-85235.0336
1520,-85525.94363,-85669.6771
1525,-85963.82154,-86104.92976
1530,-86402.34602,-86540.79035
